,cor_name,rpt_year,rpt_month,rcpNo,dcmNo,eleId,offset,length,dtd,tocNo
2301,한농화성,2006,12,20070330002366,1575912,2705,272717,501467,dart2.dtd,20
2302,한독,2006,12,20070330000176,1563975,3125,333067,293296,dart2.dtd,20
2303,한미반도체,2006,12,20070329000074,1558867,3272,341706,448861,dart2.dtd,20
2304,한미사이언스,2006,12,20070330001461,1570896,3502,376418,329735,dart2.dtd,20
2305,한샘,2006,12,20070330000809,1567339,2312,240447,665976,dart2.dtd,19
2306,한섬,2006,12,20070329000542,1560269,3004,321052,554972,dart2.dtd,20
2307,한성기업,2006,12,20070330000209,1564154,3156,324493,422489,dart2.dtd,20
2308,한세예스24홀딩스,2006,12,20070427000588,1616558,2263,228893,434040,dart2.dtd,22
2309,한솔로지스틱스,2006,12,20070330001306,1570052,2490,255630,383895,dart2.dtd,11
2310,한솔케미칼,2006,12,20070330000645,1566420,3576,372015,708998,dart2.dtd,20
2311,한솔테크닉스,2006,12,20070330000888,1567713,3050,317492,233988,dart2.dtd,20
2312,한솔피엔에스,2006,12,20070330000148,1563822,2496,263612,742841,dart2.dtd,11
2313,한솔홀딩스,2006,12,,,,,,,
2314,한솔홈데코,2006,12,20070330001447,1570789,2895,304502,298619,dart2.dtd,20
2315,한신공영,2006,12,20070330001207,1569486,3590,372412,266316,dart2.dtd,20
2316,한신기계공업,2006,12,20070330000069,1563397,2252,239085,427154,dart2.dtd,20
2317,한양증권,2007,3,20070629000185,1669942,2696,295301,286878,dart2.dtd,16
2318,한온시스템,2006,12,20070329000508,1560174,2823,301540,231503,dart2.dtd,20
2319,한올바이오파마,2006,12,20070330001312,1570055,3037,323215,306698,dart2.dtd,22
2320,한익스프레스,2006,12,,,,,,,
2321,한일철강,2006,12,20070330001443,1570791,2385,241837,605993,dart2.dtd,20
2322,한일현대시멘트,2006,12,20070330000356,1564943,3311,335145,261824,dart2.dtd,20
2323,한일홀딩스,2006,12,20070330001107,1568952,3246,342993,388225,dart2.dtd,20
2324,한진,2006,12,20070330002067,1574466,4018,490485,393526,dart2.dtd,11
2325,한진중공업홀딩스,2006,12,20070330002297,1575652,2948,321615,434242,dart2.dtd,20
2326,한창,2006,12,20070330001991,1574004,2133,220405,369726,dart2.dtd,20
2327,한창제지,2006,12,20070330002059,1574368,2981,307620,218622,dart2.dtd,20
2328,한화,2006,12,20070330001394,1570555,6615,699990,346875,dart2.dtd,29
2329,한화손해보험,2007,3,20070629000028,1669383,2389,247958,94183,dart2.dtd,16
2330,한화솔루션,2006,12,20070330001418,1570663,3794,397199,410997,dart2.dtd,20
2331,한화에어로스페이스,2006,12,20070330002154,1574892,4425,477027,326966,dart2.dtd,20
2332,한화투자증권,2007,3,20070809000064,1691707,4396,461688,921957,dart2.dtd,18
2333,현대건설,2006,12,20070330002030,1574205,6848,756498,699054,dart2.dtd,20
2334,현대그린푸드,2006,12,20070330002124,1574730,3053,345006,635624,dart2.dtd,19
2335,현대글로비스,2006,12,20070330001499,1571152,3666,397626,804579,dart2.dtd,11
2336,현대두산인프라코어,2006,12,20070330002259,1575504,2727,308211,368055,dart2.dtd,20
2337,현대로템,2006,12,20070326000729,1554502,2717,279900,374776,dart2.dtd,20
2338,현대리바트,2006,12,20070330001250,1569756,2785,311793,350412,dart2.dtd,20
2339,현대모비스,2006,12,20070330002165,1574951,3928,411632,728349,dart2.dtd,20
2340,현대미포조선,2006,12,20070330000071,1563412,3308,343639,491656,dart2.dtd,20
2341,현대백화점,2006,12,,,,,,,
2342,현대비앤지스틸,2006,12,20070330001139,1569135,3766,448352,333961,dart2.dtd,20
2343,현대약품,2006,11,20070228000159,1525554,2827,285217,273133,dart2.dtd,20
2344,현대엘리베이터,2006,12,20070330001563,1571540,4291,457283,374120,dart2.dtd,20
2345,현대위아,2006,12,20070330001121,1569009,4694,514784,893608,dart2.dtd,20
2346,현대자동차,2006,12,20070330002128,1574844,5266,580189,340720,dart2.dtd,20
2347,현대제철,2006,12,20070330001967,1573844,3357,366278,301021,dart2.dtd,20
